bioguide_id,Full name,Chamber,State,Party,District,birthYear,image,Office address,Phone,Website
R000575,Mike Rogers,House of Representatives,Alabama,Republican,3.0,1958,https://www.congress.gov/img/member/116_rp_al_3_rogers_mike_200.jpg,"2469 Rayburn House Office Building, Washington, DC 20515",(202) 225-3261,https://mikerogers.house.gov/
S001185,Terri A. Sewell,House of Representatives,Alabama,Democratic,7.0,1965,https://www.congress.gov/img/member/s001185_200.jpg,"1035 Longworth House Office Building, Washington, DC 20515",(202) 225-2665,https://sewell.house.gov/
P000609,Gary J. Palmer,House of Representatives,Alabama,Republican,6.0,1954,https://www.congress.gov/img/member/p000609_200.jpg,"170 Cannon House Office Building, Washington, DC 20515",(202) 225-4921,https://palmer.house.gov/
M001212,Barry Moore,House of Representatives,Alabama,Republican,1.0,1966,https://www.congress.gov/img/member/m001212_200.jpg,"1511 Longworth House Office Building, Washington, DC 20515",(202) 225-2901,https://barrymoore.house.gov
S001220,Dale W. Strong,House of Representatives,Alabama,Republican,5.0,1970,https://www.congress.gov/img/member/s001220_200.jpg,"449 Cannon House Office Building, Washington, DC 20515",(202) 225-4801,https://strong.house.gov
F000481,Shomari Figures,House of Representatives,Alabama,Democratic,2.0,1985,https://www.congress.gov/img/member/68013eaa4e51529406f18e42_200.jpg,"225 Cannon House Office Building, Washington, DC 20515",(202) 225-4931,https://figures.house.gov/
A000055,Robert B. Aderholt,House of Representatives,Alabama,Republican,4.0,1965,https://www.congress.gov/img/member/a000055_200.jpg,"272 Cannon House Office Building, Washington, DC 20515",(202) 225-4876,https://aderholt.house.gov/
B001323,Nicholas J. Begich III,House of Representatives,Alaska,Republican,,1977,https://www.congress.gov/img/member/6774217e0b34857ecc909040_200.jpg,"153 Cannon House Office Building, Washington, DC 20515",(202) 225-5765,https://begich.house.gov/
R000600,Aumua Amata Coleman Radewagen,House of Representatives,American Samoa,Republican,,1947,https://www.congress.gov/img/member/r000600_200.jpg,"2001 Rayburn House Office Building, Washington, DC 20510",(202) 225-8577,https://radewagen.house.gov
G000551,Raúl M. Grijalva,House of Representatives,Arizona,Democratic,7.0,1948,https://www.congress.gov/img/member/g000551_200.jpg,,,
G000565,Paul A. Gosar,House of Representatives,Arizona,Republican,9.0,1958,https://www.congress.gov/img/member/g000565_200.jpg,"2057 Rayburn House Office Building, Washington, DC 20515",(202) 225-2315,https://gosar.house.gov/
S001183,David Schweikert,House of Representatives,Arizona,Republican,1.0,1962,https://www.congress.gov/img/member/s001183_200.jpg,"166 Cannon House Office Building, Washington, DC 20515",(202) 225-2190,https://schweikert.house.gov/
B001302,Andy Biggs,House of Representatives,Arizona,Republican,5.0,1958,https://www.congress.gov/img/member/b001302_200.jpg,"464 Cannon House Office Building, Washington, DC 20515",(202) 225-2635,https://biggs.house.gov
S001211,Greg Stanton,House of Representatives,Arizona,Democratic,4.0,1970,https://www.congress.gov/img/member/s001211_200.jpg,"207 Cannon House Office Building, Washington, DC 20515",(202) 225-9888,https://stanton.house.gov/
C001133,Juan Ciscomani,House of Representatives,Arizona,Republican,6.0,1982,https://www.congress.gov/img/member/c001133_200.jpg,"461 Cannon House Office Building, Washington, DC 20515",(202) 225-2542,https://ciscomani.house.gov
C001132,Elijah Crane,House of Representatives,Arizona,Republican,2.0,1980,https://www.congress.gov/img/member/c001132_200.jpg,"307 Cannon House Office Building, Washington, DC 20515",(202) 225-3361,https://crane.house.gov
A000381,Yassamin Ansari,House of Representatives,Arizona,Democratic,3.0,1992,https://www.congress.gov/img/member/67741fc30b34857ecc90902e_200.jpg,"1432 Longworth House Office Building, Washington, DC 20515",(202) 225-4065,https://ansari.house.gov/
H001098,Abraham J. Hamadeh,House of Representatives,Arizona,Republican,8.0,1991,https://www.congress.gov/img/member/67742a6f0b34857ecc9090c5_200.jpg,"1722 Longworth House Office Building, Washington, DC 20515",(202) 225-4576,https://hamadeh.house.gov/
C001087,"Eric A. ""Rick"" Crawford",House of Representatives,Arkansas,Republican,1.0,1966,https://www.congress.gov/img/member/c001087_200.jpg,"2422 Rayburn House Office Building, Washington, DC 20515",(202) 225-4076,https://crawford.house.gov/
W000809,Steve Womack,House of Representatives,Arkansas,Republican,3.0,1957,https://www.congress.gov/img/member/117_rp_ar_3_womack_steve_200.jpg,"2412 Rayburn House Office Building, Washington, DC 20515",(202) 225-4301,https://womack.house.gov/
H001072,J. French Hill,House of Representatives,Arkansas,Republican,2.0,1956,https://www.congress.gov/img/member/h001072_200.jpg,"1533 Longworth House Office Building, Washington, DC 20515",(202) 225-2506,https://hill.house.gov/
W000821,Bruce Westerman,House of Representatives,Arkansas,Republican,4.0,1967,https://www.congress.gov/img/member/w000821_200.jpg,"202 Cannon House Office Building, Washington, DC 20515",(202) 225-3772,https://westerman.house.gov/
P000197,Nancy Pelosi,House of Representatives,California,Democratic,11.0,1940,https://www.congress.gov/img/member/p000197_200.jpg,"1236 Longworth House Office Building, Washington, DC 20515",(202) 225-4965,https://pelosi.house.gov/
I000056,Darrell Issa,House of Representatives,California,Republican,48.0,1953,https://www.congress.gov/img/member/i000056_200.jpg,"2108 Rayburn House Office Building, Washington, DC 20515",(202) 225-5672,https://issa.house.gov
S001156,Linda T. Sánchez,House of Representatives,California,Democratic,38.0,1969,https://www.congress.gov/img/member/116_rp_ca_38_snchez_linda_200.jpg,"2309 Rayburn House Office Building, Washington, DC 20515",(202) 225-6676,https://lindasanchez.house.gov/
C001059,Jim Costa,House of Representatives,California,Democratic,21.0,1952,https://www.congress.gov/img/member/116_rp_ca_16_costa_jim_200.jpg,"2081 Rayburn House Office Building, Washington, DC 20515",(202) 225-3341,https://costa.house.gov/
M001163,Doris O. Matsui,House of Representatives,California,Democratic,7.0,1944,https://www.congress.gov/img/member/m001163_200.jpg,"2206 Rayburn House Office Building, Washington, DC 20515",(202) 225-7163,https://matsui.house.gov
M001177,Tom McClintock,House of Representatives,California,Republican,5.0,1956,https://www.congress.gov/img/member/m001177_200.jpg,"2256 Rayburn House Office Building, Washington, DC 20515",(202) 225-2511,https://mcclintock.house.gov/
C001080,Judy Chu,House of Representatives,California,Democratic,28.0,1953,https://www.congress.gov/img/member/c001080_200.jpg,"2423 Rayburn House Office Building, Washington, DC 20515",(202) 225-5464,https://chu.house.gov/
G000559,John Garamendi,House of Representatives,California,Democratic,8.0,1945,https://www.congress.gov/img/member/g000559_200.jpg,"2428 Rayburn House Office Building, Washington, DC 20515",(202) 225-1880,https://garamendi.house.gov/
L000578,Doug LaMalfa,House of Representatives,California,Republican,1.0,1960,https://www.congress.gov/img/member/l000578_200.jpg,"408 Cannon House Office Building, Washington, DC 20515",(202) 225-3076,https://lamalfa.house.gov
H001068,Jared Huffman,House of Representatives,California,Democratic,2.0,1964,https://www.congress.gov/img/member/h001068_200.jpg,"2330 Rayburn House Office Building, Washington, DC 20515",(202) 225-5161,https://huffman.house.gov
B001287,Ami Bera,House of Representatives,California,Democratic,6.0,1965,https://www.congress.gov/img/member/b001287_200.jpg,"172 Cannon House Office Building, Washington, DC 20515",(202) 225-5716,https://bera.house.gov
S001193,Eric Swalwell,House of Representatives,California,Democratic,14.0,1980,https://www.congress.gov/img/member/s001193_200.jpg,"174 Cannon House Office Building, Washington, DC 20515",(202) 225-5065,https://swalwell.house.gov
V000129,David G. Valadao,House of Representatives,California,Republican,22.0,1977,https://www.congress.gov/img/member/v000129_200.jpg,"2465 Rayburn House Office Building, Washington, DC 20515",(202) 225-4695,https://valadao.house.gov
B001285,Julia Brownley,House of Representatives,California,Democratic,26.0,1952,https://www.congress.gov/img/member/68000188f22eaf56065817e8_200.jpg,"2262 Rayburn House Office Building, Washington, DC 20515",(202) 225-5811,https://juliabrownley.house.gov
R000599,Raul Ruiz,House of Representatives,California,Democratic,25.0,1972,https://www.congress.gov/img/member/66e1aec832c796cea99fe06f_200.jpg,"2342 Rayburn House Office Building, Washington, DC 20515",(202) 225-5330,https://ruiz.house.gov
T000472,Mark Takano,House of Representatives,California,Democratic,39.0,1960,https://www.congress.gov/img/member/t000472_200.jpg,"2078 Rayburn House Office Building, Washington, DC 20515",(202) 225-2305,https://takano.house.gov
V000130,Juan Vargas,House of Representatives,California,Democratic,52.0,1961,https://www.congress.gov/img/member/v000130_200.jpg,"2467 Rayburn House Office Building, Washington, DC 20515",(202) 225-8045,https://vargas.house.gov
P000608,Scott H. Peters,House of Representatives,California,Democratic,50.0,1958,https://www.congress.gov/img/member/p000608_200.jpg,"2369 Rayburn House Office Building, Washington, DC 20515",(202) 225-0508,https://scottpeters.house.gov
D000623,Mark DeSaulnier,House of Representatives,California,Democratic,10.0,1952,https://www.congress.gov/img/member/115_rp_ca_11_desaulnier_mark_200.jpg,"2134 Rayburn House Office Building, Washington, DC 20515",(202) 225-2095,https://desaulnier.house.gov/
A000371,Pete Aguilar,House of Representatives,California,Democratic,33.0,1979,https://www.congress.gov/img/member/a000371_200.jpg,"108 Cannon House Office Building, Washington, DC 20515",(202) 225-3201,https://aguilar.house.gov/
L000582,Ted Lieu,House of Representatives,California,Democratic,36.0,1969,https://www.congress.gov/img/member/l000582_200.jpg,"2454 Rayburn House Office Building, Washington, DC 20515",(202) 225-3976,https://lieu.house.gov/
T000474,Norma J. Torres,House of Representatives,California,Democratic,35.0,1965,https://www.congress.gov/img/member/t000474_200.jpg,"2227 Rayburn House Office Building, Washington, DC 20515",(202) 225-6161,https://torres.house.gov/
B001300,Nanette Diaz Barragán,House of Representatives,California,Democratic,44.0,1976,https://www.congress.gov/img/member/b001300_200.jpg,"2312 Rayburn House Office Building, Washington, DC 20515",(202) 225-8220,https://barragan.house.gov
C001112,Salud O. Carbajal,House of Representatives,California,Democratic,24.0,1964,https://www.congress.gov/img/member/115_rp_ca_24_carbajal_salud_200.jpg,"2331 Rayburn House Office Building, Washington, DC 20515",(202) 225-3601,https://carbajal.house.gov
C001110,J. Luis Correa,House of Representatives,California,Democratic,46.0,1958,https://www.congress.gov/img/member/115_rp_ca_46_correa_j_200.jpg,"2082 Rayburn House Office Building, Washington, DC 20515",(202) 225-2965,https://correa.house.gov
K000389,Ro Khanna,House of Representatives,California,Democratic,17.0,1976,https://www.congress.gov/img/member/k000389_200.jpg,"306 Cannon House Office Building, Washington, DC 20515",(202) 225-2631,https://khanna.house.gov
P000613,Jimmy Panetta,House of Representatives,California,Democratic,19.0,1969,https://www.congress.gov/img/member/116_rp_ca_20_panetta_jimmy_200.jpg,"200 Cannon House Office Building, Washington, DC 20515",(202) 225-2861,https://panetta.house.gov
G000585,Jimmy Gomez,House of Representatives,California,Democratic,34.0,1974,https://www.congress.gov/img/member/115_rp_ca_34_gomez_jimmy_200.jpg,"506 Cannon House Office Building, Washington, DC 20515",(202) 225-6235,https://gomez.house.gov/
C001123,"Gilbert Ray Cisneros, Jr.",House of Representatives,California,Democratic,31.0,1971,https://www.congress.gov/img/member/6807d8d63e52ea7df920ef05_200.jpg,"2463 Rayburn House Office Building, Washington, DC 20515",(202) 225-5256,https://cisneros.house.gov/
H001090,Josh Harder,House of Representatives,California,Democratic,9.0,1986,https://www.congress.gov/img/member/h001090_200.jpg,"209 Cannon House Office Building, Washington, DC 20515",(202) 225-4540,https://harder.house.gov/
