bioguide_id,fec_id
R000575,H2AL03032
S001185,H0AL07086
P000609,H4AL06098
M001212,H8AL02171
S001220,H2AL05102
F000481,H4AL02170
A000055,H6AL04098
B001323,H4AK00024
G000551,H6AZ07121
G000565,H0AZ01259
S001183,H4AZ06045
B001302,H6AZ05083
S001211,H8AZ09040
C001133,H2AZ02360
C001132,H2AZ01354
A000381,H4AZ03109
H001098,H4AZ08108
C001087,H0AR01083
W000809,H0AR03055
H001072,H4AR02141
W000821,H4AR04048
P000197,H8CA05035
I000056,H0CA48024
S001156,H2CA39078
C001059,H4CA20082
M001163,H6CA05195
M001177,H8CA04152
C001080,H0CA32101
G000559,H0CA10149
L000578,H2CA02142
H001068,H2CA06259
B001287,H0CA03078
S001193,H2CA15094
V000129,H2CA20094
B001285,H2CA00120
R000599,H2CA36439
T000472,H2CA43245
V000130,H2CA50026
P000608,H2CA52089
D000623,H0CA10073
A000371,H2CA31125
L000582,H4CA33119
T000474,H4CA35031
B001300,H6CA44103
C001112,H6CA24303
C001110,H6CA46116
K000389,H4CA12055
P000613,H6CA20152
G000585,H8CA34266
C001123,H4CA31170
H001090,H8CA10126
L000593,H8CA49058
J000305,H8CA49074
K000397,H8CA39240
O000019,H0CA08135
G000598,H2CA42213
K000400,H2CA37304
K000401,H2CA03157
F000480,H4CA20181
H001047,H8CT04172
H001081,H8CT05245
L000557,H8CT01046
D000600,H2FL25018
B001260,H6FL13148
B001257,H6FL09070
W000806,H0FL08208
W000808,H4FL01163
F000462,H2FL14053
D000628,H0FL13067
R000609,H6FL04105
S001200,H6FL09179
W000823,H8FL06148
C001039,H0FL03175
D000032,H2FL14186
B001314,H2FL04211
F000476,H2FL10259
L000597,H8FL19059
M001216,H2FL07156
H001099,H4FL08168
F000484,H6FL06258
P000622,H6FL01390
S001157,H2GA13012
J000288,H6GA04129
S001189,H0GA08099
C001103,H4GA01039
A000372,H2GA12048
C001116,H0GA09113
G000596,H0GA06192
W000788,H4GA05048
C001129,H8GA10049
J000311,H0GA07034
C001055,H2HI02128
F000469,H8ID01124
K000385,H2IL02172
B001295,H4IL12060
L000585,H6IL18088
C001117,H8IL06139
G000586,H8IL04134
U000040,H8IL14174
B001315,H2IL13153
J000309,H4IL18034
R000617,H2IL03162
S001225,H2IL17147
D000096,H6IL01092
S001188,H2IN02303
M001214,H0IN01150
H001093,H6IN09143
M001233,H4IN08249
S001229,H4IN06185
F000446,H0IA04145
H001091,H0IA01174
M001215,H8IA02043
N000193,H2IA03119
E000298,H8KS04112
D000629,H8KS03155
M000871,H0KS01123
S001228,H4KS02164
R000395,H0KY05015
G000558,H8KY02031
B001282,H0KY06104
C001108,H6KY01110
M001220,H2KY03206
M001184,H2KY04121
S001176,H0LA01087
H001077,H6LA03148
J000299,H2LA04020
L000595,H2LA05126
C001125,H8LA02088
F000110,H4LA06211
P000597,H8ME01120
G000592,H8ME02185
H000874,H2MD05155
M000687,H6MD07020
H001052,H8MD01094
R000606,H6MD08457
I000058,H2MD04315
E000301,H4MD03156
M001232,H4MD06340
O000176,H4MD02232
N000015,H8MA02041
L000562,H4MA08039
K000375,H0MA10082
C001101,H4MA05084
M001196,H4MA06090
P000617,H8MA07032
T000482,H8MA03106
A000148,H0MA04192
M000312,H4MA03022
W000798,H4MI07103
H001058,H0MI02094
M001194,H4MI04126
D000624,H4MI12079
B001301,H6MI01226
S001215,H8MI11254
T000481,H8MI13250
M001136,H0MI10287
J000307,H2MI10119
S001221,H0MI03316
T000488,H2MI13204
B001321,H2MI07123
M001237,H4MI08218
M001143,H0MN04049
E000294,H4MN06087
C001119,H6MN02131
O000173,H8MN05239
S001212,H8MN08043
F000470,H0MN07091
F000475,H2MN01223
M001234,H4MN03118
A000379,H2MO04207
B001316,H4MO07073
B001324,H2MO04033
O000177,H8MO09146
D000634,H4MT02098
S001172,H6NE03115
T000468,H8NV03036
A000369,H2NV02395
L000590,H6NV04020
P000614,H8NH01210
G000604,H4NH02399
S000522,H8NJ04014
N000188,H4NJ01084
W000822,H4NJ12149
G000583,H6NJ05171
S001207,H8NJ11142
K000398,H0NJ07089
M001226,H2NJ08232
M001229,H4NJ10176
C001136,H4NJ03080
P000621,H4NJ09194
V000133,H8NJ02166
L000273,H0NM03102
S001218,H2NM01144
V000136,H2NM02191
C001067,H4NY11138
T000469,H8NY21203
M001188,H2NY06116
J000294,H2NY10092
S001196,H4NY21079
E000297,H2NY13096
S001201,H6NY03247
T000478,H4NY22051
M001206,H8NY25105
O000172,H8NY15148
G000597,H0NY02234
M000317,H0NY11078
T000486,H0NY15160
R000579,H8NY19223
G000599,H2NY10308
L000598,H2NY01190
L000600,H2NY23228
L000599,H2NY17162
K000402,H4NY26078
G000602,H2NY04244
L000606,H4NY16087
M001231,H4NY22085
R000622,H8NY22177
N000002,H2NY17071
V000081,H2NY00010
M001137,H8NY06048
F000450,H4NC05146
H001067,H2NC08185
R000603,H2NC07096
A000370,H4NC12100
M001210,H0NC03172
R000305,H0NC02125
D000230,H2NC02287
E000246,H2NC14050
F000477,H2NC06114
H001101,H2NC13243
H001102,H2NC08029
K000405,H4NC13116
M001240,H4NC06177
M001236,H4NC14015
F000482,H4ND00061
K000009,H2OH09031
T000463,H2OH03067
B001281,H2OH03125
D000626,H6OH08315
B001306,H8OH12180
B001313,H2OH06052
L000601,H2OH01194
S001223,H2OH13264
T000490,H4OH02248
H001082,H8OK01157
B001317,H2OK02315
L000491,H4OK06056
B001278,H2OR01133
S001226,H2OR06066
B001326,H4OR05304
D000635,H4OR03192
H001085,H8PA06087
J000302,H8PA13125
D000530,H2PA17103
B001327,H4PA08124
