bioname,chamber,left_right_ideology,party_code,state_abbrev,district_code,icpsr,bioguide_id,party
"ROGERS, Mike Dennis",House,0.378,200,AL,3,20301,R000575,Republican
"SEWELL, Terri",House,-0.401,100,AL,7,21102,S001185,Democrat
"PALMER, Gary James",House,0.674,200,AL,6,21500,P000609,Republican
"MOORE, Barry",House,0.645,200,AL,1,22140,M001212,Republican
"STRONG, Dale",House,0.606,200,AL,5,22366,S001220,Republican
"FIGURES, Shomari",House,-0.432,100,AL,2,22515,F000481,Democrat
"ADERHOLT, Robert",House,0.405,200,AL,4,29701,A000055,Republican
"BEGICH, Nicholas J., III",House,0.634,200,AK,1,22503,B001323,Republican
"RADEWAGEN, Aumua Amata Coleman",House,0.326,200,AS,0,21995,R000600,Republican
"GRIJALVA, Raúl M.",House,-0.598,100,AZ,7,20305,G000551,Democrat
"GOSAR, Paul",House,0.704,200,AZ,9,21103,G000565,Republican
"SCHWEIKERT, David",House,0.553,200,AZ,1,21105,S001183,Republican
"BIGGS, Andrew S.",House,0.818,200,AZ,5,21705,B001302,Republican
"STANTON, Greg",House,-0.276,100,AZ,4,21968,S001211,Democrat
"CISCOMANI, Juan",House,0.292,200,AZ,6,22309,C001133,Republican
"CRANE, Eli",House,0.748,200,AZ,2,22311,C001132,Republican
"ANSARI, Yassamin",House,-0.506,100,AZ,3,22500,A000381,Democrat
"HAMADEH, Abraham J.",House,0.643,200,AZ,8,22522,H001098,Republican
"CRAWFORD, Rick",House,0.461,200,AR,1,21106,C001087,Republican
"WOMACK, Steve",House,0.348,200,AR,3,21108,W000809,Republican
"HILL, French",House,0.436,200,AR,2,21503,H001072,Republican
"WESTERMAN, Bruce Eugene",House,0.544,200,AR,4,21563,W000821,Republican
"PELOSI, Nancy",House,-0.489,100,CA,11,15448,P000197,Democrat
"ISSA, Darrell",House,0.476,200,CA,48,20107,I000056,Republican
"SÁNCHEZ, Linda T.",House,-0.508,100,CA,38,20310,S001156,Democrat
"COSTA, Jim",House,-0.198,100,CA,21,20501,C001059,Democrat
"MATSUI, Doris",House,-0.434,100,CA,7,20538,M001163,Democrat
"McCLINTOCK, Tom",House,0.67,200,CA,5,20903,M001177,Republican
"CHU, Judy",House,-0.481,100,CA,28,20955,C001080,Democrat
"GARAMENDI, John",House,-0.314,100,CA,8,20958,G000559,Democrat
"LaMALFA, Doug",House,0.542,200,CA,1,21302,L000578,Republican
"HUFFMAN, Jared",House,-0.43,100,CA,2,21303,H001068,Democrat
"BERA, Ami",House,-0.246,100,CA,6,21304,B001287,Democrat
"SWALWELL, Eric",House,-0.355,100,CA,14,21306,S001193,Democrat
"VALADAO, David G.",House,0.257,200,CA,22,21307,V000129,Republican
"BROWNLEY, Julia",House,-0.303,100,CA,26,21308,B001285,Democrat
"RUIZ, Raul",House,-0.26,100,CA,25,21311,R000599,Democrat
"TAKANO, Mark",House,-0.457,100,CA,39,21312,T000472,Democrat
"VARGAS, Juan",House,-0.397,100,CA,52,21314,V000130,Democrat
"PETERS, Scott",House,-0.193,100,CA,50,21315,P000608,Democrat
"DESAULNIER, Mark James",House,-0.513,100,CA,10,21504,D000623,Democrat
"AGUILAR, Peter Rey",House,-0.324,100,CA,33,21506,A000371,Democrat
"LIEU, Ted",House,-0.373,100,CA,36,21507,L000582,Democrat
"TORRES, Norma Judith",House,-0.367,100,CA,35,21508,T000474,Democrat
"BARRAGÁN, Nanette Diaz",House,-0.502,100,CA,44,21703,B001300,Democrat
"CARBAJAL, Salud",House,-0.326,100,CA,24,21709,C001112,Democrat
"CORREA, Jose Luis",House,-0.285,100,CA,46,21711,C001110,Democrat
"KHANNA, Rohit",House,-0.456,100,CA,17,21728,K000389,Democrat
"PANETTA, James Varni",House,-0.288,100,CA,19,21740,P000613,Democrat
"GOMEZ, Jimmy",House,-0.527,100,CA,34,21754,G000585,Democrat
"CISNEROS, Gil",House,-0.466,100,CA,31,21907,C001123,Democrat
"HARDER, Josh",House,-0.293,100,CA,9,21930,H001090,Democrat
"LEVIN, Mike",House,-0.318,100,CA,49,21939,L000593,Democrat
"JACOBS, Sara",House,-0.405,100,CA,51,22126,J000305,Democrat
"KIM, Young",House,0.256,200,CA,40,22129,K000397,Republican
"OBERNOLTE, Jay",House,0.313,200,CA,23,22145,O000019,Republican
"GARCIA, Robert",House,-0.376,100,CA,42,22323,G000598,Democrat
"KAMLAGER-DOVE, Sydney",House,-0.527,100,CA,37,22333,K000400,Democrat
"KILEY, Kevin",House,0.251,200,CA,3,22336,K000401,Republican
"MULLIN, Kevin",House,-0.5,100,CA,15,22354,M001225,Democrat
"FONG, Vince",House,0.451,200,CA,20,22378,F000480,Republican
"FRIEDMAN, Laura",House,-0.387,100,CA,30,22516,F000483,Democrat
"GRAY, Adam",House,-0.245,100,CA,13,22521,G000605,Democrat
"LICCARDO, Sam T.",House,-0.36,100,CA,16,22532,L000607,Democrat
"MIN, Dave",House,-0.224,100,CA,47,22541,M001241,Democrat
"RIVAS, Luz M.",House,-0.49,100,CA,29,22550,R000620,Democrat
