introducedDate,type,url,number,title,bioguide_id
2025-09-10,,https://api.congress.gov/v3/amendment/119/hamdt/101?format=json,,,R000575
2025-09-09,,https://api.congress.gov/v3/amendment/119/hamdt/80?format=json,,,R000575
2025-09-09,,https://api.congress.gov/v3/amendment/119/hamdt/77?format=json,,,R000575
2025-09-09,,https://api.congress.gov/v3/amendment/119/hamdt/83?format=json,,,R000575
2025-09-09,,https://api.congress.gov/v3/amendment/119/hamdt/84?format=json,,,R000575
2025-09-09,,https://api.congress.gov/v3/amendment/119/hamdt/82?format=json,,,R000575
2025-06-25,HR,https://api.congress.gov/v3/bill/119/hr/4147?format=json,4147,Poarch Band of Creek Indians Parity Act,R000575
2025-06-09,HR,https://api.congress.gov/v3/bill/119/hr/3838?format=json,3838,Streamlining Procurement for Effective Execution and Delivery and National Defense Authorization Act for Fiscal Year 2026,R000575
2025-04-08,HR,https://api.congress.gov/v3/bill/119/hr/2740?format=json,2740,"To modify the boundaries of the Talladega National Forest, and for other purposes.",R000575
2025-03-31,HR,https://api.congress.gov/v3/bill/119/hr/2519?format=json,2519,"To provide a per diem allowance for Members of Congress for the costs of lodging, meals, and incidental expenses incurred because of travel to and from the Washington Metropolitan Area in order to cast votes in Congress, and for other purposes.",R000575
2025-02-26,HR,https://api.congress.gov/v3/bill/119/hr/1630?format=json,1630,"To allow States to elect to observe year-round daylight saving time, and for other purposes.",R000575
2025-02-25,HR,https://api.congress.gov/v3/bill/119/hr/1580?format=json,1580,"To amend section 3001 of title 39, United States Code, to require solicitations sent in the mail to be clearly identified as solicitations, and for other purposes.",R000575
2025-01-31,HRES,https://api.congress.gov/v3/bill/119/hres/80?format=json,80,Providing amounts for the expenses of the Committee on Armed Services in the One Hundred Nineteenth Congress.,R000575
2025-09-16,HR,https://api.congress.gov/v3/bill/119/hr/5377?format=json,5377,Rural Health Training Opportunities Act,S001185
2025-07-23,HR,https://api.congress.gov/v3/bill/119/hr/4731?format=json,4731,Resident Physician Shortage Reduction Act of 2025,S001185
2025-07-14,HR,https://api.congress.gov/v3/bill/119/hr/4381?format=json,4381,To direct the Secretary of Defense to establish a pilot program regarding treating pregnancy as a qualifying event for enrollment in TRICARE Select.,S001185
2025-06-10,HR,https://api.congress.gov/v3/bill/119/hr/3890?format=json,3890,Resident Physician Shortage Reduction Act of 2025,S001185
2025-05-07,HR,https://api.congress.gov/v3/bill/119/hr/3257?format=json,3257,Bridge to Medicaid Act of 2025,S001185
2025-03-05,HR,https://api.congress.gov/v3/bill/119/hr/14?format=json,14,John R. Lewis Voting Rights Advancement Act of 2025,S001185
2025-02-04,HR,https://api.congress.gov/v3/bill/119/hr/964?format=json,964,Rosa Parks Day Act,S001185
2025-01-31,HRES,https://api.congress.gov/v3/bill/119/hres/88?format=json,88,"Supporting the designation of January 31, 2025, as ""Earned Income Tax Credit Awareness Day"".",S001185
2025-07-22,HR,https://api.congress.gov/v3/bill/119/hr/4609?format=json,4609,To extend the authority to carry out the Defense Production Act of 1950.,P000609
2025-07-14,HR,https://api.congress.gov/v3/bill/119/hr/4370?format=json,4370,SAMS Act of 2025,P000609
2025-04-17,HR,https://api.congress.gov/v3/bill/119/hr/2953?format=json,2953,ALERT Act,P000609
2025-04-09,HR,https://api.congress.gov/v3/bill/119/hr/2793?format=json,2793,Retirement Freedom Act,P000609
2025-03-11,HR,https://api.congress.gov/v3/bill/119/hr/2076?format=json,2076,Lulu’s Law,P000609
2025-03-03,HR,https://api.congress.gov/v3/bill/119/hr/1776?format=json,1776,New Health Options Act of 2025,P000609
2025-02-27,HR,https://api.congress.gov/v3/bill/119/hr/1731?format=json,1731,Standard FEES Act,P000609
