,actiondate,actiondesc,currentchamber,currentchambercode,lastsummaryupdatedate,text,updatedate,versioncode,bill_number,bill_type
0,2025-10-15,Introduced in Senate,Senate,S,2025-10-20T19:23:02Z,"<p><strong>Shutdown Fairness Act</strong></p><p>This bill provides appropriations to pay federal employees who work during a government shutdown.</p><p>Specifically, the bill provides appropriations for federal agencies to provide standard rates of pay, allowances, pay differentials, benefits, and other payments to excepted employees for work performed during any period in which interim continuing appropriations or full-year appropriations are not in effect for a fiscal year (i.e., a government shutdown). An excepted employee is an employee who is required to work during a government shutdown.</p><p>Under current law, excepted employees are not paid until the government shutdown is over. This bill provides appropriations to pay excepted employees during a government shutdown. The bill also specifies that the term&nbsp;<em>excepted employee </em>includes certain contractors who support federal employees during a government shutdown and members of the Armed Forces who are on active duty.&nbsp;</p><p>A federal agency may not use the funds provided by this bill during any period in which continuing appropriations are in effect for the purpose of paying&nbsp;excepted employees of the agency.</p><p>The bill must take effect as if it had been enacted on September 30, 2025.&nbsp;</p>",2025-10-20T19:23:15Z,0,3012,S
1,2025-10-08,Introduced in House,House,H,2025-10-20T14:56:29Z,"<p><strong>Federal Worker Childcare Protection Act of 2025</strong></p><p>This bill authorizes certain federal employees to be reimbursed for childcare expenses paid during the government shutdown that began on October 1, 2025.</p><p>Under the bill, any federal employee who was furloughed or worked without receiving a paycheck during the lapse in appropriations (i.e., government shutdown)&nbsp;that began on October 1, 2025, and paid for childcare during the lapse is eligible to be reimbursed for the childcare expenses if (1) appropriations are provided for this purpose, and (2) the employee submits a receipt from a childcare provider to the General Services Administration.&nbsp;</p>",2025-10-20T14:56:58Z,0,5720,HR
2,2025-10-08,Introduced in House,House,H,2025-10-20T14:06:32Z,"<p>This bill requires the federal government to reimburse state agencies that use state funds to carry out operations necessary to maintain participation in the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) during a lapse in discretionary appropriations (i.e., government shutdown). WIC&nbsp;provides nutrition-rich foods, nutrition education, and health care and social services referrals to eligible low-income women, infants, and children.</p>",2025-10-20T14:07:00Z,0,5705,HR
3,2025-10-07,Introduced in Senate,Senate,S,2025-10-20T13:46:31Z,"<p><b>Federal Employees Civil Relief Act</b></p> <p>This bill establishes a framework to temporarily suspend certain judicial and administrative proceedings against a federal employee or contractor during a shutdown. </p> <p>Under the bill, a <i>shutdown </i>is a period in which (1) there is more than a 24-hour lapse in appropriations for any federal agency or department because a regular appropriations bill or a continuing resolution has not been enacted, or (2) the debt of the federal government is greater than the statutory limit. </p> <p>A federal worker (i.e., an employee of a government agency or contractor) who is furloughed or required to work without pay during a shutdown may apply to a court for a temporary stay, postponement, or suspension with respect to any payment of rent, mortgage, tax, fine, penalty, insurance premium, student loan repayment, or other civil obligation or liability that the worker owes or would owe during the duration of the shutdown.</p> <p>The bill includes related provisions that restrict evictions, foreclosures, the enforcement of liens, and the termination of insurance policies during a shutdown. It also provides for the deferral of federal income taxes and student loan payments during a shutdown. </p> <p>The Department of Justice may commence a civil action against any person who engages in (1) a pattern or practice of violating the requirements of this bill, or (2) a violation that raises an issue of significant public importance. A person aggrieved by a violation of this bill's requirements may also bring a private right of action.</p>",2025-10-20T13:48:30Z,0,2982,S
4,2025-10-01,Introduced in Senate,Senate,S,2025-10-20T13:42:12Z,"<p><strong>Fair Pay for Federal Contractors Act of 2025</strong></p><p>This bill provides back pay to employees of federal contractors who lost pay due to a lapse in appropriations (i.e., government shutdown) in FY2026.</p><p>Specifically, the bill provides appropriations for federal agencies that are subject to a lapse in appropriations in FY2026 to adjust the price of contracts to compensate federal contractors for&nbsp;providing back pay to employees who were affected by the lapse in appropriations.&nbsp;</p><p>The agencies must adjust the price of any contract for which the contractor stopped, suspended, delayed, or interrupted all or part of the work under the contract due to the lapse in appropriations. The price adjustment must compensate the contractor for reasonable costs incurred to (1) compensate employees who were furloughed or laid off, were not working, or experienced a reduction of hours or compensation due to the lapse in appropriations; or (2) restore paid leave taken by employees during the lapse in appropriations if the contractor required or permitted employees to use paid leave as a result of the lapse in appropriations.</p><p>The maximum amount of weekly compensation of an employee for which an adjustment may be made under this bill may not exceed the lesser of (1) the employee's actual weekly compensation, or (2) $1,442 (or a lesser amount pro-rated for an employee who works less than 40 hours per week).</p><p>The bill also requires the Office of Federal Procurement Policy to submit a report to Congress on the adjustments made under this bill.</p>",2025-10-20T13:45:48Z,0,2963,S
5,2025-09-30,Introduced in House,House,H,2025-10-20T13:40:35Z,"<p>This bill provides appropriations for the Federal Aviation Administration (FAA) if there is a lapse in appropriations for the FAA. Specifically, the bill provides the appropriations that are necessary for the operation of the FAA for the lesser of (1) 30 days, or (2) the duration of the lapse in appropriations.</p>",2025-10-20T13:41:14Z,0,5667,HR
6,2025-10-10,Introduced in House,House,H,2025-10-20T13:36:59Z,"<p><strong>Bureau of Prisons Earnings Now Act of 2025 or the&nbsp;BOPEN Act of 2025</strong></p><p>This bill provides appropriations for the salaries and expenses of staff of the Bureau of Prisons (BOP) during any period in which interim or full-year appropriations for FY2026 or FY2027 are not in effect (i.e., a government shutdown). The bill does not apply to any officer of the BOP who is required to be appointed by the President with the advice and consent of the Senate.&nbsp;</p>",2025-10-20T13:39:18Z,0,5742,HR
7,2025-10-03,Introduced in House,House,H,2025-10-17T18:22:44Z,"<p><strong>Shutdown Guidance for Financial Institutions Act </strong></p><p>This bill directs financial regulators—including the Federal Reserve Board, the Consumer Financial Protection Bureau, the Office of the Comptroller of the Currency, the Federal Deposit Insurance Corporation, and the National Credit Union Administration—to jointly issue guidance relating to a government shutdown.</p><p>Specifically, financial regulators must issue guidance encouraging financial institutions to</p><ul><li>work with consumers and businesses affected by a shutdown,</li><li>recognize that consumers and businesses affected by a shutdown may lose access to credit and face temporary hardship in making payments on debts,</li><li>consider efforts to modify terms on existing loans or extend new credit to assist consumers and businesses affected by a shutdown, and</li><li>take steps to prevent adverse credit information from being reported in a manner that harms consumers affected by a shutdown.</li></ul><p>In addition, financial regulators must jointly issue a press release to notify financial institutions, consumers, and businesses&nbsp;of this guidance in the event of a government shutdown.</p><p>Financial regulators must also complete a report after a government shutdown regarding the guidance's effectiveness and update the guidance if any shortcoming are identified in the report.&nbsp;</p>",2025-10-17T18:25:26Z,0,5689,HR
8,2025-10-08,Introduced in House,House,H,2025-10-17T15:24:24Z,"<p><strong>Federal Agricultural Relief Maintained during Shutdowns And Federal Emergencies Act or the FARM SAFE Act</strong></p><p>This bill requires the Department of Agriculture (USDA) to continue activities related to agricultural disaster assistance programs during a lapse in appropriations (i.e., government shutdown).</p><p>Specifically, the bill provides&nbsp;that any USDA employee necessary to carry out an agricultural disaster assistance program (1) must be treated as an excepted employee who is required to perform work during a lapse in appropriations, and (2) may not be removed under a reduction in force.</p>",2025-10-17T15:25:59Z,0,5716,HR
9,2025-10-03,Introduced in House,House,H,2025-10-17T14:57:12Z,"<p><strong>Keep the Heat On Act of 2025</strong></p><p>This bill provides appropriations for the Low Income Home Energy Assistance Program (LIHEAP) during any period in FY2026 in which there is a lapse in discretionary appropriations (i.e., a government shutdown).&nbsp;</p><p>Under LIHEAP, the federal government makes annual grants to states, tribes, and territories to operate home energy assistance programs for low-income households.&nbsp;The bill provides appropriations to continue making&nbsp;LIHEAP payments during a government shutdown in FY2026 at a rate that is equal to the rate for the corresponding month of FY2025.&nbsp;</p>",2025-10-17T14:57:32Z,0,5687,HR
