bioguide_id,full_name,birthyear,image,office_address,phone,website,fec_id,bioname,chamber,left_right_ideology,party_code,state_abbrev,district_code,icpsr,party
A000055,Robert B. Aderholt,1965.0,https://www.congress.gov/img/member/a000055_200.jpg,"272 Cannon House Office Building, Washington, DC 20515",(202) 225-4876,https://aderholt.house.gov/,H6AL04098,"ADERHOLT, Robert",House,0.405,200,AL,4,29701,Republican
A000148,Jake Auchincloss,1988.0,https://www.congress.gov/img/member/67817e391f9ad6ea6fb1ebda_200.jpg,"1524 Longworth House Office Building, Washington, DC 20515",(202) 225-5931,https://auchincloss.house.gov,H0MA04192,"AUCHINCLOSS, Jake",House,-0.288,100,MA,4,22100,Democrat
A000369,Mark E. Amodei,1958.0,https://www.congress.gov/img/member/a000369_200.jpg,"104 Cannon House Office Building, Washington, DC 20515",(202) 225-6155,https://amodei.house.gov,H2NV02395,"AMODEI, Mark E.",House,0.384,200,NV,2,21196,Republican
A000370,Alma S. Adams,1946.0,https://www.congress.gov/img/member/a000370_200.jpg,"2436 Rayburn House Office Building, Washington, DC 20515",(202) 225-1510,https://adams.house.gov,H4NC12100,"ADAMS, Alma",House,-0.462,100,NC,12,21545,Democrat
A000371,Pete Aguilar,1979.0,https://www.congress.gov/img/member/a000371_200.jpg,"108 Cannon House Office Building, Washington, DC 20515",(202) 225-3201,https://aguilar.house.gov/,H2CA31125,"AGUILAR, Peter Rey",House,-0.324,100,CA,33,21506,Democrat
A000372,Rick W. Allen,1951.0,https://www.congress.gov/img/member/a000372_200.jpg,"462 Cannon House Office Building, Washington, DC 20515",(202) 225-2823,https://allen.house.gov,H2GA12048,"ALLEN, Rick W.",House,0.69,200,GA,12,21516,Republican
A000375,Jodey C. Arrington,1972.0,https://www.congress.gov/img/member/115_rp_tx_19_arrington_jodey_200.jpg,"1111 Longworth House Office Building, Washington, DC 20515",(202) 225-4005,https://arrington.house.gov,H6TX19099,"ARRINGTON, Jodey Cook",House,0.642,200,TX,19,21700,Republican
A000379,Mark Alford,1963.0,https://www.congress.gov/img/member/a000379_200.jpg,"328 Cannon House Office Building, Washington, DC 20515",(202) 225-2876,https://alford.house.gov,H2MO04207,"ALFORD, Mark",House,0.569,200,MO,4,22300,Republican
A000380,Gabe Amo,1987.0,https://www.congress.gov/img/member/669ace45fa2fb0d731226768_200.jpg,"1119 Longworth House Office Building, Washington, DC 20515",(202) 225-4911,https://amo.house.gov,H4RI01265,"AMO, Gabe",House,-0.456,100,RI,1,22375,Democrat
A000381,Yassamin Ansari,1992.0,https://www.congress.gov/img/member/67741fc30b34857ecc90902e_200.jpg,"1432 Longworth House Office Building, Washington, DC 20515",(202) 225-4065,https://ansari.house.gov/,H4AZ03109,"ANSARI, Yassamin",House,-0.506,100,AZ,3,22500,Democrat
A000382,Angela D. Alsobrooks,1971.0,https://www.congress.gov/img/member/67acdbbf044eb506e25958f2_200.jpg,"374 Russell Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-4524,https://alsobrooks.senate.gov/,S4MD00327,"ALSOBROOKS, Angela Deneece",Senate,-0.432,100,MD,0,42500,Democrat
B000490,"Sanford D. Bishop, Jr.",1947.0,https://www.congress.gov/img/member/b000490_200.jpg,"2407 Rayburn House Office Building, Washington, DC 20515",(202) 225-3631,https://bishop.house.gov/,H2GA02031,"BISHOP, Sanford Dixon, Jr.",House,-0.288,100,GA,2,29339,Democrat
B000668,Cliff Bentz,1952.0,https://www.congress.gov/img/member/b000668_200.jpg,"409 Cannon House Office Building, Washington, DC 20515",(202) 225-6730,https://bentz.house.gov,H0OR02127,"BENTZ, Cliff",House,0.474,200,OR,2,22101,Republican
B000740,Stephanie I. Bice,1973.0,https://www.congress.gov/img/member/b000740_200.jpg,"2402 Rayburn House Office Building, Washington, DC 20515",(202) 225-2132,https://bice.house.gov,H0OK05205,"BICE, Stephanie I.",House,0.412,200,OK,5,22102,Republican
B000825,Lauren Boebert,1986.0,https://www.congress.gov/img/member/b000825_200.jpg,"1713 Longworth House Office Building, Washington, DC 20515",(202) 225-4761,https://boebert.house.gov,H0CO03165,"BOEBERT, Lauren",House,0.738,200,CO,4,22103,Republican
