bioguide_id,chamber,congress,stateCode,startYear,endYear,district
R000575,House of Representatives,108,AL,2003,2005,3.0
R000575,House of Representatives,109,AL,2005,2007,3.0
R000575,House of Representatives,110,AL,2007,2009,3.0
R000575,House of Representatives,111,AL,2009,2011,3.0
R000575,House of Representatives,112,AL,2011,2013,3.0
R000575,House of Representatives,113,AL,2013,2015,3.0
R000575,House of Representatives,114,AL,2015,2017,3.0
R000575,House of Representatives,115,AL,2017,2019,3.0
R000575,House of Representatives,116,AL,2019,2021,3.0
R000575,House of Representatives,117,AL,2021,2023,3.0
R000575,House of Representatives,118,AL,2023,2025,3.0
R000575,House of Representatives,119,AL,2025,2027,3.0
S001185,House of Representatives,112,AL,2011,2013,7.0
S001185,House of Representatives,113,AL,2013,2015,7.0
S001185,House of Representatives,114,AL,2015,2017,7.0
S001185,House of Representatives,115,AL,2017,2019,7.0
S001185,House of Representatives,116,AL,2019,2021,7.0
S001185,House of Representatives,117,AL,2021,2023,7.0
S001185,House of Representatives,118,AL,2023,2025,7.0
S001185,House of Representatives,119,AL,2025,2027,7.0
P000609,House of Representatives,114,AL,2015,2017,6.0
P000609,House of Representatives,115,AL,2017,2019,6.0
P000609,House of Representatives,116,AL,2019,2021,6.0
P000609,House of Representatives,117,AL,2021,2023,6.0
P000609,House of Representatives,118,AL,2023,2025,6.0
P000609,House of Representatives,119,AL,2025,2027,6.0
M001212,House of Representatives,117,AL,2021,2023,2.0
M001212,House of Representatives,118,AL,2023,2025,2.0
M001212,House of Representatives,119,AL,2025,2027,1.0
S001220,House of Representatives,118,AL,2023,2025,5.0
S001220,House of Representatives,119,AL,2025,2027,5.0
F000481,House of Representatives,119,AL,2025,2027,2.0
A000055,House of Representatives,105,AL,1997,1999,4.0
A000055,House of Representatives,106,AL,1999,2001,4.0
A000055,House of Representatives,107,AL,2001,2003,4.0
A000055,House of Representatives,108,AL,2003,2005,4.0
A000055,House of Representatives,109,AL,2005,2007,4.0
A000055,House of Representatives,110,AL,2007,2009,4.0
A000055,House of Representatives,111,AL,2009,2011,4.0
A000055,House of Representatives,112,AL,2011,2013,4.0
A000055,House of Representatives,113,AL,2013,2015,4.0
A000055,House of Representatives,114,AL,2015,2017,4.0
A000055,House of Representatives,115,AL,2017,2019,4.0
A000055,House of Representatives,116,AL,2019,2021,4.0
A000055,House of Representatives,117,AL,2021,2023,4.0
A000055,House of Representatives,118,AL,2023,2025,4.0
A000055,House of Representatives,119,AL,2025,2027,4.0
B001323,House of Representatives,119,AK,2025,2027,
R000600,House of Representatives,114,AS,2015,2017,
R000600,House of Representatives,115,AS,2017,2019,
R000600,House of Representatives,116,AS,2019,2021,
R000600,House of Representatives,117,AS,2021,2023,
R000600,House of Representatives,118,AS,2023,2025,
R000600,House of Representatives,119,AS,2025,2027,
G000551,House of Representatives,108,AZ,2003,2005,7.0
G000551,House of Representatives,109,AZ,2005,2007,7.0
G000551,House of Representatives,110,AZ,2007,2009,7.0
G000551,House of Representatives,111,AZ,2009,2011,7.0
G000551,House of Representatives,112,AZ,2011,2013,7.0
G000551,House of Representatives,113,AZ,2013,2015,3.0
G000551,House of Representatives,114,AZ,2015,2017,3.0
G000551,House of Representatives,115,AZ,2017,2019,3.0
G000551,House of Representatives,116,AZ,2019,2021,3.0
G000551,House of Representatives,117,AZ,2021,2023,3.0
G000551,House of Representatives,118,AZ,2023,2025,7.0
G000551,House of Representatives,119,AZ,2025,2025,7.0
G000565,House of Representatives,112,AZ,2011,2013,1.0
G000565,House of Representatives,113,AZ,2013,2015,4.0
G000565,House of Representatives,114,AZ,2015,2017,4.0
G000565,House of Representatives,115,AZ,2017,2019,4.0
G000565,House of Representatives,116,AZ,2019,2021,4.0
G000565,House of Representatives,117,AZ,2021,2023,4.0
G000565,House of Representatives,118,AZ,2023,2025,9.0
G000565,House of Representatives,119,AZ,2025,2027,9.0
S001183,House of Representatives,112,AZ,2011,2013,5.0
S001183,House of Representatives,113,AZ,2013,2015,6.0
S001183,House of Representatives,114,AZ,2015,2017,6.0
S001183,House of Representatives,115,AZ,2017,2019,6.0
S001183,House of Representatives,116,AZ,2019,2021,6.0
S001183,House of Representatives,117,AZ,2021,2023,6.0
S001183,House of Representatives,118,AZ,2023,2025,1.0
S001183,House of Representatives,119,AZ,2025,2027,1.0
B001302,House of Representatives,115,AZ,2017,2019,5.0
B001302,House of Representatives,116,AZ,2019,2021,5.0
B001302,House of Representatives,117,AZ,2021,2023,5.0
B001302,House of Representatives,118,AZ,2023,2025,5.0
B001302,House of Representatives,119,AZ,2025,2027,5.0
